timestamp,open,high,low,close,volume
2019-11-29,1306.6000,1309.9500,1303.2300,1304.0900,640069
2019-11-27,1315.4200,1317.6400,1309.4700,1312.1300,940536
2019-11-26,1309.9100,1314.0100,1304.0400,1313.0000,1097089
2019-11-25,1296.2600,1310.4100,1295.6100,1305.6400,1179658
2019-11-22,1303.0000,1306.9000,1289.3600,1293.6700,1388912
2019-11-21,1299.2500,1311.1200,1290.7500,1300.1400,1277338
2019-11-20,1311.3600,1313.2100,1289.2100,1301.8600,1445870
2019-11-19,1326.6300,1326.6300,1311.7700,1312.5900,1093629
2019-11-18,1332.3400,1333.9200,1316.1600,1319.8400,1399374
2019-11-15,1315.0500,1333.5400,1311.8900,1333.5400,1964955
2019-11-14,1295.0000,1315.7200,1293.9400,1309.1500,1450039
2019-11-13,1293.1800,1302.5200,1292.1500,1296.1800,936085
2019-11-12,1298.5700,1309.3500,1294.2400,1297.2100,1444342
2019-11-11,1304.0000,1304.9000,1295.8700,1298.2800,861860
2019-11-08,1301.5200,1317.1100,1301.5200,1309.0000,1521892
2019-11-07,1294.2800,1322.6500,1293.7500,1306.9400,2257005
2019-11-06,1290.0900,1292.9900,1282.2700,1291.0100,1231265
2019-11-05,1291.2000,1297.2400,1289.3800,1291.4400,1257427
2019-11-04,1276.1100,1292.5000,1276.1100,1289.6100,1531622
2019-11-01,1265.8000,1273.0000,1259.7100,1272.2500,1440607
2019-10-31,1260.0000,1266.5200,1249.4800,1258.8000,1595154
2019-10-30,1255.1500,1268.0200,1250.6500,1260.7000,1460193
2019-10-29,1276.0000,1280.8000,1255.6100,1260.6600,2632715
2019-10-28,1275.0000,1299.2400,1272.3100,1288.9800,3010505
2019-10-25,1252.0000,1268.0000,1249.1500,1264.3000,1355248
2019-10-24,1259.1100,1262.9000,1252.3500,1259.1100,1140478
2019-10-23,1240.2100,1258.0400,1240.2100,1257.6300,1176281
2019-10-22,1244.4800,1248.7300,1239.8500,1241.2000,1281821
2019-10-21,1248.7000,1253.5100,1239.9900,1244.2800,904715
2019-10-18,1254.6900,1258.1100,1240.1400,1244.4100,1453691
2019-10-17,1251.4000,1263.7500,1249.8700,1252.8000,1063981
2019-10-16,1241.8100,1254.1900,1238.5300,1243.0000,1151028
2019-10-15,1221.5000,1247.1200,1220.9200,1242.2400,1527216
2019-10-14,1213.8900,1225.8800,1211.8800,1217.7700,683926
2019-10-11,1224.0300,1228.7500,1213.6400,1215.7100,1126452
2019-10-10,1198.6000,1215.6200,1197.8600,1209.4700,668244
2019-10-09,1201.3300,1208.4600,1198.1200,1202.4000,813216
2019-10-08,1198.7700,1206.8700,1189.4800,1190.1300,1032426
2019-10-07,1207.0000,1218.9100,1204.3600,1208.2500,879020
2019-10-04,1194.2900,1212.4600,1190.9700,1210.9600,1228686
2019-10-03,1183.3400,1191.0000,1163.1400,1189.4300,1469413
2019-10-02,1196.5000,1198.7600,1172.6300,1177.9200,1674774
2019-10-01,1222.4900,1232.8600,1205.5500,1206.0000,1282735
2019-09-30,1220.6000,1227.4000,1213.4200,1221.1400,1294609
2019-09-27,1242.8300,1244.9900,1215.2000,1225.9500,1722481
2019-09-26,1242.1400,1244.6700,1231.8200,1242.2900,1171577
2019-09-25,1216.0100,1248.0200,1209.2000,1245.9400,1355162
2019-09-24,1240.0000,1247.1100,1210.6400,1218.3300,1835712
2019-09-23,1226.5700,1239.6800,1223.7800,1234.6900,1197069
2019-09-20,1233.6400,1242.8000,1223.5800,1229.8400,1937743
2019-09-19,1232.3200,1244.3400,1232.3100,1238.7500,847002
