timestamp,open,high,low,close,volume
2019-11-29,201.6000,203.8000,201.2100,201.6400,7985231
2019-11-27,199.9000,203.1400,199.4200,202.0000,12760568
2019-11-26,200.0000,200.1500,198.0387,198.9700,11748664
2019-11-25,199.5150,200.9700,199.2500,199.7900,15286442
2019-11-22,198.3800,199.3000,197.6200,198.8200,9959817
2019-11-21,197.4200,199.0900,196.8600,197.9300,12130985
2019-11-20,198.5800,199.5900,195.4300,197.5100,12370240
2019-11-19,197.4000,200.0000,196.8600,199.3200,19070291
2019-11-18,194.5600,198.6300,193.0500,197.4000,16176107
2019-11-15,194.2600,195.3000,193.3800,195.1000,11530232
2019-11-14,192.9300,194.0300,191.4500,193.1500,9059897
2019-11-13,194.7000,195.7000,192.7400,193.1900,11009800
2019-11-12,190.0000,195.0600,189.7400,194.4700,17615454
2019-11-11,189.9300,190.0800,188.5400,189.6100,8637768
2019-11-08,190.0000,192.3400,189.7000,190.8400,10764784
2019-11-07,191.9100,193.4400,189.4700,190.4200,13472998
2019-11-06,194.0300,194.3700,191.3500,191.5500,10973019
2019-11-05,195.3700,195.7500,193.6000,194.3200,9941954
2019-11-04,194.5500,197.3672,193.8119,194.7200,16371292
2019-11-01,192.8500,194.1100,189.9100,193.6200,21711829
2019-10-31,196.7000,198.0900,188.2500,191.6500,42286529
2019-10-30,189.5600,190.4500,185.9800,188.2500,28734559
2019-10-29,191.6900,192.5300,188.4700,189.3100,13574874
2019-10-28,187.2000,189.5300,185.0800,189.4000,13377192
2019-10-25,185.8300,189.0000,185.0876,187.8900,8061240
2019-10-24,184.6200,186.7300,182.8000,186.3800,11505406
2019-10-23,182.0100,186.3800,182.0000,186.1500,12370819
2019-10-22,190.0000,190.6500,181.5000,182.3400,19854192
2019-10-21,187.0400,189.9100,186.7500,189.7600,8122598
2019-10-18,190.2300,191.4900,183.9239,185.8500,16584992
2019-10-17,190.3000,190.8400,188.7650,190.3900,9761548
2019-10-16,188.3200,189.7000,186.9002,189.5500,10560343
2019-10-15,183.8000,190.3800,183.6600,188.8900,15143119
2019-10-14,184.2000,184.6200,182.5735,183.2800,7203665
2019-10-11,182.1500,186.4900,182.1400,184.1900,14998754
2019-10-10,180.3200,181.6100,179.1700,180.0300,8980978
2019-10-09,179.1600,180.7200,177.9400,179.8500,7648874
2019-10-08,178.2600,180.3700,177.7200,177.7500,10084896
2019-10-07,180.0000,181.1800,178.0900,179.6800,9359793
2019-10-04,179.5500,180.9800,178.1000,180.4500,10476395
2019-10-03,175.5700,179.8400,173.6300,179.3800,16789319
2019-10-02,174.8400,176.5300,173.0900,174.6000,16374148
2019-10-01,179.1500,179.8400,174.8800,175.8100,17261556
2019-09-30,177.8700,178.6700,176.8500,178.0800,11071425
2019-09-27,178.1600,180.7550,175.6600,177.1000,14663575
2019-09-26,181.3300,181.4000,177.6700,180.1100,16280691
2019-09-25,181.4500,183.4200,177.8700,182.8000,18339960
2019-09-24,187.9800,188.0400,180.3900,181.2800,18775666
2019-09-23,189.3400,190.1000,185.2062,186.8200,14370089
2019-09-20,190.6600,193.1000,188.1200,189.9300,20359878
2019-09-19,188.6600,191.1000,188.1500,190.1400,10474685
2019-09-18,188.0900,189.0800,186.0120,188.1400,9945798
2019-09-17,186.6600,188.3200,185.5400,188.0800,9751570
2019-09-16,186.9300,187.7943,185.7650,186.2200,8444844
2019-09-13,187.3250,187.9700,186.5400,187.1900,11441116
2019-09-12,189.8600,190.9300,187.2300,187.4700,11419775
2019-09-11,186.4600,189.4400,186.0800,188.4900,11761660
2019-09-10,187.4400,188.1000,184.5500,186.1700,15455867
2019-09-09,187.7300,188.9800,185.8466,188.7600,14722402
2019-09-06,190.2100,190.2100,186.3500,187.4900,15226820
2019-09-05,188.5300,191.3600,187.9400,190.9000,13896621
2019-09-04,184.6500,187.7494,183.8900,187.1400,11314571
2019-09-03,184.0000,185.6700,182.1100,182.3900,9792187
2019-08-30,186.7800,186.8017,183.4585,185.6700,10785722
2019-08-29,183.7700,186.0752,183.4700,185.5700,10135033
2019-08-28,180.5300,181.9500,178.9200,181.7600,9364533
2019-08-27,181.9300,184.0400,181.0100,181.3000,14408946
2019-08-26,179.4000,180.5000,178.2400,180.3600,8780477
2019-08-23,180.8400,183.1300,176.6600,177.7500,17331221
2019-08-22,183.4300,184.1100,179.9100,182.0400,10829509
2019-08-21,185.0000,185.9000,183.1400,183.5500,8409548
2019-08-20,185.4500,186.0000,182.3900,183.8100,10087592
2019-08-19,186.0100,187.5000,184.8500,186.1700,9699661
2019-08-16,183.7500,185.1000,182.3600,183.7000,12844832
2019-08-15,180.9500,183.2000,180.0300,182.5900,13059640
2019-08-14,185.8000,185.9900,179.3100,179.7100,18903716
2019-08-13,185.5200,191.3800,185.3700,188.4500,13653319
2019-08-12,186.8500,187.5900,184.4600,185.3700,10936283
2019-08-09,190.0000,190.9800,187.1200,187.8500,11058811
2019-08-08,186.6200,190.3400,184.0500,190.1600,14828916
2019-08-07,183.6000,186.3700,181.2200,185.1500,15833197
2019-08-06,183.6900,185.7890,183.0900,184.5100,18035686
2019-08-05,184.6900,185.6700,179.3400,181.7300,23086655
2019-08-02,191.1000,192.6200,188.0700,189.0200,15296975
2019-08-01,194.1700,198.4700,190.8800,192.7300,17777013
2019-07-31,196.9500,198.7600,192.6800,194.2300,14593544
2019-07-30,195.3900,198.7100,193.5000,197.0400,11903558
2019-07-29,199.0000,199.6300,195.3000,195.9400,16530801
2019-07-26,200.1900,202.8800,196.2500,199.7500,24433985
2019-07-25,206.7000,208.6600,198.2600,200.7100,39889869
2019-07-24,197.6300,204.8100,197.2200,204.6600,32532540
2019-07-23,202.8400,204.2420,200.9625,202.3600,14583680
2019-07-22,199.9100,202.5700,198.8100,202.3200,13589024
2019-07-19,202.1800,202.3300,198.0700,198.3600,12098262
2019-07-18,200.1500,202.4700,199.3800,200.7800,11956554
2019-07-17,204.1800,204.3600,201.5900,201.8000,12083714
2019-07-16,203.8900,205.4707,203.1000,203.8400,12132720
2019-07-15,204.2500,205.3300,201.8200,203.9100,16030335
2019-07-12,199.6800,205.3000,199.1600,204.8700,15366272
2019-07-11,203.2600,203.8000,200.2100,201.2300,13678457
